Sheet,Brand,Stock Item,Qty,Stock Screen,Stock Quality,Model Matched,Flag,Amazon Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Title
EXACT MATCH,Vivo,Vivo T2x CareOG,1,Not Specified,CareOG,Vivo T2x,,Inactive,T2XCARE,0,2886,Not Specified,CareOG,Compatible for Vivo T2x CareOG Display+Touch Screen Combo Folder
EXACT MATCH,Vivo,Vivo V11 Pro CareOG,1,Not Specified,CareOG,Vivo V11 Pro,,Inactive,V11PROLED,0,4596,Not Specified,CareOG,Compatible for Vivo V11 Pro (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
EXACT MATCH,Vivo,Vivo V17 CareOG,1,Not Specified,CareOG,Vivo V17,,Inactive,V17CARE,0,7591,Not Specified,CareOG,Compatible for Vivo V17 (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
EXACT MATCH,Vivo,Vivo V15 CareOG,1,Not Specified,CareOG,Vivo V15,,Inactive,V15CARE,0,2737,Not Specified,CareOG,Compatible for Vivo V15 CareOG Display+Touch Screen Combo Folder
EXACT MATCH,Vivo,Vivo X80 CareOG,1,Not Specified,CareOG,Vivo X80,,Inactive,VVX80OG,0,6104,Not Specified,CareOG,Compatible for Vivo X80 CareOG (Fingerprint Support) Display+Touch Screen Combo Folder
EXACT MATCH,OnePlus,OnePlus 8 CareOG,2,Not Specified,CareOG,OnePlus 8,,Inactive,1+8CARE,0,6412,Not Specified,CareOG,Compatible for OnePlus 8 (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
EXACT MATCH,OnePlus,OnePlus 10 Pro CareOG,1,Not Specified,CareOG,OnePlus 10 Pro,,Inactive,1+10PROCARE,0,18488,Not Specified,CareOG,Compatible for OnePlus 10 Pro (Fingerprint Support) CareOG Display+Touch Screen Combo Fold
EXACT MATCH,OnePlus,OnePlus 7 CareOG,1,Not Specified,CareOG,OnePlus 7,,Inactive,1+7CARE,0,4889,Not Specified,CareOG,Compatible for OnePlus 7 (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
EXACT MATCH,OnePlus,OnePlus 7 Incell,1,Incell LCD,Standard,OnePlus 7,,Active,OP7LCD,99,2850,LCD,Standard,Compatible for OnePlus 7 (No Fingerprint Support) LCD Display+Touch Screen Combo Folder
EXACT MATCH,OnePlus,OnePlus 8 Pro Incell,1,Incell LCD,Standard,OnePlus 8 Pro,,Inactive,1+8ProLCD,0,4048,LCD,Standard,Compatible for OnePlus 8 Pro LCD (No Fingerprint Support) Display+Touch Screen Combo Folde
EXACT MATCH,OnePlus,OnePlus 10R Incell,1,Incell LCD,Standard,OnePlus 10R,,Active,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Combo Folder
EXACT MATCH,OnePlus,OnePlus 11R CareOG,1,Not Specified,CareOG,OnePlus 11R,,Inactive,1+11RCARE,0,6748,Not Specified,CareOG,Compatible for OnePlus 11R (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
EXACT MATCH,OnePlus,OnePlus 9 CareOG,1,Not Specified,CareOG,OnePlus 9,,Inactive,1+9CARE,0,8746,Not Specified,CareOG,Compatible for OnePlus 9 (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
EXACT MATCH,OnePlus,OnePlus Nord CE 2 Lite Incell,1,Incell LCD,Standard,OnePlus Nord CE 2 Lite,,Active,P2-NAQO-T7PA,100,2469,LCD,Standard,Compatible for OnePlus Nord CE 2 Lite LCD Display+Touch Screen Combo Folder
EXACT MATCH,Apple,iPhone 13 Incell,1,Incell LCD,Standard,Apple iPhone 13,,Inactive,IP13OG,0,2790,LCD,Standard,Compatible for Apple iPhone 13 LCD Display+Touch Screen Combo Folder
EXACT MATCH,Apple,iPhone 13 Pro Max Incell,1,Incell LCD,Standard,Apple iPhone 13 Pro Max,,Inactive,IP13PMLCD,0,4139,LCD,Standard,Compatible for Apple iPhone 13 Pro Max LCD Display+Touch Screen Combo Folder
EXACT MATCH,Apple,iPhone 11 Incell,1,Incell LCD,Standard,Apple iPhone 11,,Inactive,IP11LCD,0,2427,LCD,Standard,Compatible for Apple iPhone 11 LCD Display+Touch Screen Combo Folder
EXACT MATCH,Apple,iPhone 8 CareOG,1,Not Specified,CareOG,Apple iPhone 8,,Inactive,IP8WCARE,0,2887,Not Specified,CareOG,Compatible for Apple iPhone 8 (White) CareOG Display+Touch Screen Combo Folder
EXACT MATCH,Apple,iPhone 14 Pro Max Incell,1,Incell LCD,Standard,Apple iPhone 14 Pro Max,,Inactive,IP14PMLCD,0,4650,LCD,Standard,Compatible for Apple iPhone 14 Pro Max LCD Display+Touch Screen Combo Folder
EXACT MATCH,Samsung,Galaxy A31 Incell,1,Incell LCD,Standard,Samsung Galaxy A31,,Active,A31,97,2049,LCD,Standard,Compatible for Samsung Galaxy A31 (No Fingerprint Support) LCD Display+Touch Screen Combo 
EXACT MATCH,Samsung,Galaxy A30s Incell,2,Incell LCD,Standard,Samsung Galaxy A30s,,Active,A30S,2,2298,LCD,Standard,Compatible for Samsung Galaxy A30s (No Fingerprint Support) LCD Display+Touch Screen Combo
EXACT MATCH,Samsung,Galaxy A10 Incell,1,Incell LCD,Standard,Samsung Galaxy A10,,Inactive,A10,0,1696,LCD,Standard,Compatible for Samsung Galaxy A10 LCD Display+Touch Screen Combo Folder
LOOSE MATCH,Realme,Realme C67 Incell,1,Incell LCD,Standard,Realme C67,SCREEN: Incell LCD -> Not Specified | QUALITY: Standard -> CareOG,Inactive,RLMC67WFOG,0,2969,Not Specified,CareOG,Compatible for Realme C67 (with Frame) CareOG Display+Touch Screen Combo Folder
LOOSE MATCH,Realme,Realme C30 Incell,1,Incell LCD,Standard,Realme C30,SCREEN: Incell LCD -> Not Specified | QUALITY: Standard -> CareOG,Inactive,RLMC30WFOG,0,2499,Not Specified,CareOG,Compatible for Realme C30 (with Frame) CareOG Display+Touch Screen Combo Folder
LOOSE MATCH,Realme,Realme C53 Incell,1,Incell LCD,Standard,Realme C53,SCREEN: Incell LCD -> Not Specified | QUALITY: Standard -> CareOG,Active,RMC53CARE,1,2736,Not Specified,CareOG,Compatible for Realme C53 CareOG Display+Touch Screen Combo Folder
LOOSE MATCH,Realme,Realme 3 Pro Frame,1,Not Specified,With Frame,Realme 3 Pro,QUALITY: With Frame -> CareOG,Inactive,RM3PCARE,0,2737,Not Specified,CareOG,Compatible for Realme 3 Pro CareOG Display+Touch Screen Combo Folder
LOOSE MATCH,OnePlus,OnePlus Nord CareOG,1,Not Specified,CareOG,OnePlus Nord,SCREEN: Not Specified -> LCD | QUALITY: CareOG -> Standard,Inactive,FN-NWHF-1PHU,0,2946,LCD,Standard,Compatible for OnePlus Nord (No Fingerprint Support) LCD Display+Touch Screen Combo Folder
LOOSE MATCH,Apple,iPhone 13 Pro OLED,1,OLED,Standard,Apple iPhone 13 Pro,SCREEN: OLED -> LCD,Inactive,IP13ProLCD,0,3598,LCD,Standard,Compatible for Apple iPhone 13 Pro LCD Display+Touch Screen Combo Folder
LOOSE MATCH,Apple,iPhone 13 Pro Max OLED,1,OLED,Standard,Apple iPhone 13 Pro Max,SCREEN: OLED -> LCD,Inactive,IP13PMLCD,0,4139,LCD,Standard,Compatible for Apple iPhone 13 Pro Max LCD Display+Touch Screen Combo Folder
LOOSE MATCH,Apple,iPhone 11 Pro Max OLED,1,OLED,Standard,Apple iPhone 11 Pro Max,SCREEN: OLED -> LCD,Inactive,11PMAXLCD,0,3203,LCD,Standard,Compatible for Apple iPhone 11 Pro Max LCD Display+Touch Screen Combo Folder
LOOSE MATCH,Apple,iPhone 8 Plus Incell,1,Incell LCD,Standard,Apple iPhone 8 Plus,SCREEN: Incell LCD -> Not Specified | QUALITY: Standard -> CareOG,Inactive,IPH8PBCARE,0,3464,Not Specified,CareOG,Compatible for Apple iPhone 8 Plus (Black) CareOG Display+Touch Screen Combo Folder
LOOSE MATCH,Samsung,Galaxy A73 OLED,1,OLED,Standard,Samsung Galaxy A73,SCREEN: OLED -> Not Specified | QUALITY: Standard -> CareOG,Inactive,SAMA73CARE,0,6180,Not Specified,CareOG,Compatible for Samsung Galaxy A73 (Fingerprint Support) CareOG Display+Touch Screen Combo 
LOOSE MATCH,Samsung,Galaxy J7 Max Incell,1,Incell LCD,Standard,Samsung Galaxy J7 Max,SCREEN: Incell LCD -> OLED,Inactive,J7MXBLED,0,2225,OLED,Standard,Compatible for Samsung Galaxy J7 Max (2017) (Black) OLED Display+Touch Screen Combo Folder
NOT LISTED,Realme,Realme 13 Pro CareOG,1,Not Specified,CareOG,,,,,,,,,
NOT LISTED,Vivo,Vivo X70 Pro Plus CareOG,1,Not Specified,CareOG,,,,,,,,,
NOT LISTED,Oppo,F17 Pro OLED,1,OLED,Standard,,,,,,,,,
NOT LISTED,Oppo,A53 CareOG,2,Not Specified,CareOG,,,,,,,,,
NOT LISTED,Oppo,A57 5G CareOG,3,Not Specified,CareOG,,,,,,,,,
NOT LISTED,Oppo,F19 OLED,1,OLED,Standard,,,,,,,,,
NOT LISTED,Oppo,A54 5G Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Oppo,F27 OLED,1,OLED,Standard,,,,,,,,,
NOT LISTED,Oppo,F9 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Oppo,Reno 10 Pro Plus CareOG,2,Not Specified,CareOG,,,,,,,,,
NOT LISTED,Oppo,F5 Frame,1,Not Specified,With Frame,,,,,,,,,
NOT LISTED,Oppo,F5 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,OnePlus,OnePlus 9RT Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Apple,iPhone XS Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Samsung,Galaxy A32 4G Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Samsung,Galaxy A32 4G Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Samsung,Galaxy S21 FE OLED,1,OLED,Standard,,,,,,,,,
NOT LISTED,Samsung,Galaxy S20 FE With Frame OLED,1,OLED,With Frame,,,,,,,,,
NOT LISTED,Samsung,Galaxy J7 Next Incell,3,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Samsung,Galaxy J7 2016 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Samsung,Galaxy J7 2015 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Redmi Note 5 With Frame White,1,Not Specified,With Frame,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,11X OLED,1,OLED,Standard,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,11X Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Redmi 4A With Frame Incell Black,1,Incell LCD,With Frame,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,A3 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Redmi Note 10T With Frame,1,Not Specified,With Frame,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,K20 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Redmi 12 With Frame,1,Not Specified,With Frame,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Redmi 12 5G With Frame,1,Not Specified,With Frame,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Redmi 13 Pro Plus With Frame,1,Not Specified,With Frame,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Redmi 10 Power Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Redmi Note 6 Pro Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Redmi Note 7 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Poco X3 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Poco M4 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Nothing Phone 1 CareOG,1,Not Specified,CareOG,,,,,,,,,
NOT LISTED,Mixed,Infinix Note 10 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Infinix Hot 9 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Infinix Note 11S Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Honor 7X Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Honor 7X White Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Honor 8C Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Honor 8X Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Honor X9B Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Nokia G10 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Nokia G20 Incell,2,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Nokia G21 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Nokia C3 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Moto G9 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Moto Edge 50 Fusion Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Moto G34 Frame,1,Not Specified,With Frame,,,,,,,,,
NOT LISTED,Mixed,Asus Zenfone Max M2 Incell,1,Incell LCD,Standard,,,,,,,,,
NOT LISTED,Mixed,Asus ROG Phone 2 Incell,1,Incell LCD,Standard,,,,,,,,,
