Brand,Stock Item,Qty,Stock Screen,Stock Quality,Sunsky Primary Model,Sunsky Cross-fit Models,Sunsky Item No,Sunsky Price (INR),Sunsky Product Type,Amazon Model Matched,Amazon Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Amazon Title
OnePlus,OnePlus 9RT Incell,1,Incell LCD,Standard,9RT 5G,,SPS1572,Rs.4816,LCD Screen,OnePlus 9Rt,Active,1+9RtLCD,2,2498,LCD,Standard,Compatible for OnePlus 9Rt LCD (No Fingerprint Support) Display+Touch Screen Combo Folder
OnePlus,OnePlus 9 CareOG,1,Not Specified,CareOG,9,,MPB0445,Rs.860,For OnePlus,Tecno Camon 19,Active,TCCM19WFOG,1,2898,Not Specified,CareOG,Compatible for Tecno Camon 19 (with Frame) CareOG Display+Touch Screen Combo Folder
OnePlus,OnePlus Nord CE 2 Lite Incell,1,Incell LCD,Standard,Nord,,EDA004986023,Rs.514,For OnePlus,OnePlus Nord CE 2 Lite,Active,P2-NAQO-T7PA,100,2469,LCD,Standard,Compatible for OnePlus Nord CE 2 Lite LCD Display+Touch Screen Combo Folder
Apple,iPhone 13 Incell,1,Incell LCD,Standard,13,,EDA004222105,Rs.6136,LCD Screen,Apple iPhone 13,Inactive,IP13OG,0,2790,LCD,Standard,Compatible for Apple iPhone 13 LCD Display+Touch Screen Combo Folder
Apple,iPhone 13 Pro OLED,1,OLED,Standard,13 Pro,,SPS7838S,Rs.12643,LCD Screen,Apple iPhone 13 Pro Max GX Am,Active,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Folder
Apple,iPhone 13 Pro Max OLED,1,OLED,Standard,iPhone 13 Pro Max,,EDA003287204,Rs.787,For iPhone,Apple iPhone 13 Pro Max GX Am,Active,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Folder
Apple,iPhone 13 Pro Max Incell,1,Incell LCD,Standard,iPhone 13 Pro Max,,EDA003287204,Rs.787,For iPhone,Apple iPhone 13 Pro Max,Inactive,IP13PMLCD,0,4139,LCD,Standard,Compatible for Apple iPhone 13 Pro Max LCD Display+Touch Screen Combo Folder
Apple,iPhone 11 Pro Max OLED,1,OLED,Standard,iPhone 11 Pro Max,,IP110004,Rs.717,For iPhone,Apple iPhone 11 Pro Max GX Am,Inactive,11PMAXOLED,0,4588,OLED,Standard,Compatible for Apple iPhone 11 Pro Max GX Amoled Display+Touch Screen Combo Folder
Apple,iPhone 11 Incell,1,Incell LCD,Standard,11,,RPS0647,Rs.1314,LCD Screen,Apple iPhone 11,Inactive,IP11LCD,0,2427,LCD,Standard,Compatible for Apple iPhone 11 LCD Display+Touch Screen Combo Folder
Apple,iPhone 8 CareOG,1,Not Specified,CareOG,8,,MPB2316,Rs.420,For Nokia,Apple iPhone 8,Inactive,IP8WCARE,0,2887,Not Specified,CareOG,Compatible for Apple iPhone 8 (White) CareOG Display+Touch Screen Combo Folder
Apple,iPhone XS Incell,1,Incell LCD,Standard,Mate Xs,,SPS9518,Rs.2028,For Huawei,Apple iPhone Xs,Inactive,IPXSLCD,0,2469,LCD,Standard,Compatible for Apple iPhone Xs LCD Display+Touch Screen Combo Folder
Apple,iPhone 14 Pro Max Incell,1,Incell LCD,Standard,iPhone 14 Pro Max,,EDA004045904,Rs.771,For iPhone,Apple iPhone 14 Pro Max,Inactive,IP14PMLCD,0,4650,LCD,Standard,Compatible for Apple iPhone 14 Pro Max LCD Display+Touch Screen Combo Folder
Samsung,Galaxy A31 Incell,1,Incell LCD,Standard,A31,,SPS1010,Rs.75,Small Board,Samsung Galaxy A31,Active,A31,97,2049,LCD,Standard,Compatible for Samsung Galaxy A31 (No Fingerprint Support) LCD Display+Touch Screen Combo 
Samsung,Galaxy A30s Incell,2,Incell LCD,Standard,30S,,SPS5743GL,Rs.1460,LCD Screen,Samsung Galaxy A30s,Active,A30S,2,2298,LCD,Standard,Compatible for Samsung Galaxy A30s (No Fingerprint Support) LCD Display+Touch Screen Combo
Samsung,Galaxy A10 Incell,1,Incell LCD,Standard,nova 10 SE,,SPS9527,Rs.3719,For Huawei,Samsung Galaxy A10s,Active,A10S,100,1966,LCD,Standard,Compatible for Samsung Galaxy A10s LCD Display+Touch Screen Combo Folder
XIAOMI/REDMI/POCO,A3 Incell,1,Incell LCD,Standard,A3,,EDA008432052,Rs.75,Speaker Ringer Buzzer,Huawei Nova 3i,Inactive,NOVA3i,0,2475,LCD,Standard,Compatible for Huawei Nova 3i LCD Display+Touch Screen Combo Folder
Mixed,Nothing Phone 1 CareOG,1,Not Specified,CareOG,1,,SP3846,Rs.118,Charging Port Board,Tecno Camon 19,Active,TCCM19WFOG,1,2898,Not Specified,CareOG,Compatible for Tecno Camon 19 (with Frame) CareOG Display+Touch Screen Combo Folder
Mixed,Honor 8C Incell,1,Incell LCD,Standard,8C,,SP2888BL,Rs.1028,LCD Screen,Tecno Spark 8C,Inactive,TCNSP8C,0,2148,LCD,Standard,Compatible for Tecno Spark 8C LCD Display+Touch Screen Combo Folder
