Brand,Stock Name,Qty,Stock Screen,Stock Quality,Confidence,Amazon Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Match Issue,Title
XIAOMI/REDMI/POCO,A3 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi Note 10T With Frame,1,Not Specified,With Frame,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,K20 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi 12 With Frame,1,Not Specified,With Frame,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi 12 5G With Frame,1,Not Specified,With Frame,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi 13 Pro Plus With Frame,1,Not Specified,With Frame,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi 10 Power Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi Note 6 Pro Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi Note 7 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Poco X3 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Poco M4 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Nothing Phone 1 CareOG,1,Not Specified,CareOG,NONE,,,,,,,NOT LISTED,
Mixed,Infinix Note 10 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Infinix Hot 9 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Infinix Note 11S Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Honor 7X Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Honor 7X White Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Honor 8C Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Honor 8X Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Honor X9B Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Nokia G10 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Nokia G20 Incell,2,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Nokia G21 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Nokia C3 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Moto G9 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Moto Edge 50 Fusion Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Moto G34 Frame,1,Not Specified,With Frame,NONE,,,,,,,NOT LISTED,
Mixed,Asus Zenfone Max M2 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Asus ROG Phone 2 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
